"Drug"	"CID"	"ATC"	"miRNA"	"Gene"
"estrone"	"CID100000698"	"G03"	"miR-25"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-30b"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-214"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-424"	"APLN"
"estrone"	"CID100000698"	"G03"	"miR-203"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-200b"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-124"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-340"	"APLN"
"estrone"	"CID100000698"	"G03"	"miR-125b"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-122"	"ESR1"
"estrone"	"CID100000698"	"G03"	"miR-130b"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-137"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-30b"	"SNAI1"
"estrone"	"CID100000698"	"G03"	"miR-140-5p"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-381"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-27b"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-320a"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-9"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-30a"	"SNAI1"
"estrone"	"CID100000698"	"G03"	"miR-429"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-367"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-302e"	"MEF2C"
"estrone"	"CID100000698"	"G03"	"miR-361-5p"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-149"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-148b"	"MXD1"
"estrone"	"CID100000698"	"G03"	"miR-497"	"APLN"
"estrone"	"CID100000698"	"G03"	"miR-340"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-92a"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-30d"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-204"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-137"	"MAX"
"estrone"	"CID100000698"	"G03"	"miR-200b"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-302d"	"MEF2C"
"estrone"	"CID100000698"	"G03"	"miR-148a"	"MXD1"
"estrone"	"CID100000698"	"G03"	"miR-30c"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-320c"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-340"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-92b"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-27a"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-211"	"SP1"
"estrone"	"CID100000698"	"G03"	"miR-320a"	"MAX"
"estrone"	"CID100000698"	"G03"	"miR-224"	"ABCC1"
"estrone"	"CID100000698"	"G03"	"miR-326"	"ABCC1"
"estrone"	"CID100000698"	"G03"	"miR-335"	"MAX"
"estrone"	"CID100000698"	"G03"	"miR-367"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-30e"	"NR3C1"
"estrone"	"CID100000698"	"G03"	"miR-363"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-32"	"SMURF1"
"estrone"	"CID100000698"	"G03"	"miR-7"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-300"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-544"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-424"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-22"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-128b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-448"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-155"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-302e"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-485-3p"	"NFYB"
"etoposide"	"CID100003310"	"L01"	"miR-153"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-370"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-381"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-302d"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-34"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-15b"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-34b*"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-326"	"MRP1"
"etoposide"	"CID100003310"	"L01"	"miR-630"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-192"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-150"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-221"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-342-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-16"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-144"	"TOP2A"
"etoposide"	"CID100003310"	"L01"	"miR-182"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-221"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-296-5p"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-222"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-15b"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-539"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-21"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-542-3p"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-21"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-590-3p"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-377"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-495"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-217"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-137"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-24"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-18a"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-376c"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-1915"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-214"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-503"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-18a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-16"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-424"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-195"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-142-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-16"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-20b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-302e"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-181c"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-365"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-497"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-302d"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-497"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-27a"	"ABCB1"
"etoposide"	"CID100003310"	"L01"	"miR-15a"	"MTHFR"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-297"	"ABCC2"
"etoposide"	"CID100003310"	"L01"	"miR-29a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-133b"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-222"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-181a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-497"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-548c-3p"	"TOP2A"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"let-7f"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-145"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-424"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-30a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-30c"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-590-5p"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-125a-5p"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-15b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-20a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-193b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-205"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-150"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-124a"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-301b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-340"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-195"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-148a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-320d"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-340"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-27b"	"CYP3A4"
"etoposide"	"CID100003310"	"L01"	"miR-320a"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-331-5p"	"ABCB1"
"etoposide"	"CID100003310"	"L01"	"miR-495"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-17"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-22"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-106a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-221"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-377"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-25"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-15a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-30c"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-29c"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-320b"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-451"	"ABCB1"
"etoposide"	"CID100003310"	"L01"	"miR-612"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-520d-3p"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-193a-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-142-3p"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-93"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-15a"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-22"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-15a"	"FLT3"
"etoposide"	"CID100003310"	"L01"	"miR-302b"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-302a"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-30c"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-152"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-124"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-22"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-410"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-27a"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-519d"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-328"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"let-7a"	"TP53"
"etoposide"	"CID100003310"	"L01"	"let-7d"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-199b-5p"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-141"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-302b"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-195"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-23a"	"TOP2B"
"etoposide"	"CID100003310"	"L01"	"miR-204"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-520b"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-520d-3p"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-520b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-30a"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-30c"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-326"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-29c"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-454"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-302d"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-371-5p"	"UGT1A1"
"etoposide"	"CID100003310"	"L01"	"miR-18b"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-7"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-106b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-599"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-16"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-708"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-130b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"let-7i"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-221"	"ABCB1"
"etoposide"	"CID100003310"	"L01"	"miR-320a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-182"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-30a"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-27b"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-320c"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-559"	"ERBB2"
"etoposide"	"CID100003310"	"L01"	"miR-183"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-125b"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-520b"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-30a"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-130a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-96"	"MLL"
"etoposide"	"CID100003310"	"L01"	"let-7b"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-486-5p"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-301a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-302b"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-29b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-148b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-19b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30c"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-454"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"let-7e"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-301a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-128"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-192"	"ABCC3"
"etoposide"	"CID100003310"	"L01"	"miR-320c"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-320a"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-320d"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-130b"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"let-7b"	"TYMS"
"etoposide"	"CID100003310"	"L01"	"miR-96"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-125a-5p"	"ERBB2"
"etoposide"	"CID100003310"	"L01"	"miR-506"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-9"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-125a-5p"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-214"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-520d-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-485-5p"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-449b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"WDR7"
"etoposide"	"CID100003310"	"L01"	"miR-125b"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-200c"	"ABCB1"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-182"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-185"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-367"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-520c-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-222"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-1285"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-28-5p"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-495"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-330-5p"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-186"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-181b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-372"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-548d-3p"	"ERBB2"
"etoposide"	"CID100003310"	"L01"	"miR-302a"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-302a"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-300"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-520c-3p"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-429"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-373"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-520a-3p"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-29a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-98"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-320b"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-506"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-331-3p"	"ERBB2"
"etoposide"	"CID100003310"	"L01"	"miR-449a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-1271"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-520c-3p"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-34c-5p"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-130a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-520e"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-520e"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-363"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-1271"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-217"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-320d"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-494"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-200a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-302e"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-199a-5p"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-301b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-302c"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-23b"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-373"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-204"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-302a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-302c"	"MLL"
"etoposide"	"CID100003310"	"L01"	"let-7g"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-29c"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-29b"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-181d"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-211"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-200c"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-153"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-373"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-202"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-224"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-372"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-132"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-448"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-373"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-29b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-138"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-182"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-873"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-148a"	"NR1I2"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-429"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-23a"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-302b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-200c"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-17"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-212"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-216a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-148a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-125b"	"ERBB2"
"etoposide"	"CID100003310"	"L01"	"miR-19a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-197"	"ABCC3"
"etoposide"	"CID100003310"	"L01"	"miR-520d-3p"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-34a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-128"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-153"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-20a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-544"	"ERCC4"
"etoposide"	"CID100003310"	"L01"	"miR-200b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-18a"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-519c"	"ABCG2"
"etoposide"	"CID100003310"	"L01"	"miR-143"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-17"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-520a-3p"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-381"	"NR3C1"
"etoposide"	"CID100003310"	"L01"	"miR-133a"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-372"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-26b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-376b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-20b"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-130b"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-29a"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-1271"	"MLL"
"etoposide"	"CID100003310"	"L01"	"let-7c"	"TP53"
"etoposide"	"CID100003310"	"L01"	"miR-30e"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-125a-5p"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-152"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-30d"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-124"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-1"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-192"	"ABCG2"
"etoposide"	"CID100003310"	"L01"	"miR-1297"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-20a"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-376a"	"MLL"
"etoposide"	"CID100003310"	"L01"	"let-7c"	"ERCC4"
"etoposide"	"CID100003310"	"L01"	"miR-23a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-148b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-218"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-520e"	"NPM1"
"etoposide"	"CID100003310"	"L01"	"miR-106b"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"mir-328"	"ABCG2"
"etoposide"	"CID100003310"	"L01"	"miR-125b"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-328"	"ABCG2"
"etoposide"	"CID100003310"	"L01"	"miR-218"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-302d"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-106a"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-374b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-519d"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-345"	"ABCC1"
"etoposide"	"CID100003310"	"L01"	"miR-23b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-505"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-320c"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-320b"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-124"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-520b"	"VDR"
"etoposide"	"CID100003310"	"L01"	"miR-506"	"MLL"
"etoposide"	"CID100003310"	"L01"	"miR-26a"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-145"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-144"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"miR-93"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-212"	"ABCG2"
"etoposide"	"CID100003310"	"L01"	"miR-302e"	"MLL"
"etoposide"	"CID100003310"	"L01"	"let-7g"	"ERCC4"
"etoposide"	"CID100003310"	"L01"	"let-7a"	"BCL2"
"etoposide"	"CID100003310"	"L01"	"miR-18b"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-128"	"ELMO1"
"etoposide"	"CID100003310"	"L01"	"miR-199b-5p"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-520a-3p"	"FOXO3"
"etoposide"	"CID100003310"	"L01"	"miR-199a-5p"	"HIF1A"
"etoposide"	"CID100003310"	"L01"	"miR-520a-3p"	"VDR"
"etoposide"	"CID100003310"	"L01"	"let-7i"	"ERCC4"
"etoposide"	"CID100003310"	"L01"	"miR-202"	"ERCC4"
"etoposide"	"CID100003310"	"L01"	"miR-32"	"PTEN"
"etoposide"	"CID100003310"	"L01"	"let-7f"	"ERCC4"
